n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,random,2,27686000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,random,3,26026000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,random,4,48968000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,random,0,31661000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,random,1,28438000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,random,2,22040000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,random,3,20871000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,random,4,21069000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,random,0,27470000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,random,1,22220000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,random,2,27800000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,random,3,32756000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,random,4,28682000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,random,0,24021000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,random,1,24903000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,random,2,30731000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,random,3,34765000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,random,4,39229000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,random,0,66368000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,random,1,58883000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,random,2,61834000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,random,3,61125000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,random,4,61802000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,random,0,76792000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,random,1,59508000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,random,2,61583000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,random,3,62610000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,random,4,68876000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,random,0,71124000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,random,1,63055000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,random,2,55969000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,random,3,59900000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,random,4,63600000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,random,0,58608000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,random,1,60292000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,random,2,67392000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,random,3,66563000
10,testing/rand_bn_nodes_10_4.BIFXML,False,3,3,map,random,4,72820000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,random,0,76046000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,random,1,67373000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,random,2,60532000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,random,3,65636000
10,testing/rand_bn_nodes_10_5.BIFXML,False,3,3,map,random,4,80336000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,random,0,256334000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,random,1,197547000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,random,2,189807000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,random,3,142553000
15,testing/rand_bn_nodes_15_1.BIFXML,False,5,5,map,random,4,191173000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,random,0,153630000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,random,1,115955000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,random,2,121400000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,random,3,145853000
15,testing/rand_bn_nodes_15_2.BIFXML,False,5,5,map,random,4,157743000
15,testing/rand_bn_nodes_15_3.BIFXML,False,5,5,map,random,0,121081000
15,testing/rand_bn_nodes_15_3.BIFXML,False,5,5,map,random,1,200605000
15,testing/rand_bn_nodes_15_3.BIFXML,False,5,5,map,random,2,220265000
15,testing/rand_bn_nodes_15_3.BIFXML,False,5,5,map,random,3,148396000
15,testing/rand_bn_nodes_15_3.BIFXML,False,5,5,map,random,4,169485000
15,testing/rand_bn_nodes_15_4.BIFXML,False,5,5,map,random,0,167244000
15,testing/rand_bn_nodes_15_4.BIFXML,False,5,5,map,random,1,137443000
15,testing/rand_bn_nodes_15_4.BIFXML,False,5,5,map,random,2,162971000
15,testing/rand_bn_nodes_15_4.BIFXML,False,5,5,map,random,3,182449000
15,testing/rand_bn_nodes_15_4.BIFXML,False,5,5,map,random,4,184645000
15,testing/rand_bn_nodes_15_5.BIFXML,False,5,5,map,random,0,254698000
15,testing/rand_bn_nodes_15_5.BIFXML,False,5,5,map,random,1,182642000
15,testing/rand_bn_nodes_15_5.BIFXML,False,5,5,map,random,2,203903000
15,testing/rand_bn_nodes_15_5.BIFXML,False,5,5,map,random,3,233381000
15,testing/rand_bn_nodes_15_5.BIFXML,False,5,5,map,random,4,403260000
20,testing/rand_bn_nodes_20_1.BIFXML,False,6,6,map,random,0,3548686000
20,testing/rand_bn_nodes_20_1.BIFXML,False,6,6,map,random,1,2843003000
20,testing/rand_bn_nodes_20_1.BIFXML,False,6,6,map,random,2,4114276000
20,testing/rand_bn_nodes_20_1.BIFXML,False,6,6,map,random,3,3900224000
20,testing/rand_bn_nodes_20_1.BIFXML,False,6,6,map,random,4,2636917000
20,testing/rand_bn_nodes_20_2.BIFXML,False,6,6,map,random,0,2087404000
20,testing/rand_bn_nodes_20_2.BIFXML,False,6,6,map,random,1,2034331000
20,testing/rand_bn_nodes_20_2.BIFXML,False,6,6,map,random,2,2647222000
20,testing/rand_bn_nodes_20_2.BIFXML,False,6,6,map,random,3,2567723000
20,testing/rand_bn_nodes_20_2.BIFXML,False,6,6,map,random,4,2552557000
20,testing/rand_bn_nodes_20_3.BIFXML,False,6,6,map,random,0,2323663000
20,testing/rand_bn_nodes_20_3.BIFXML,False,6,6,map,random,1,3591282000
20,testing/rand_bn_nodes_20_3.BIFXML,False,6,6,map,random,2,3076119000
20,testing/rand_bn_nodes_20_3.BIFXML,False,6,6,map,random,3,3200743000
20,testing/rand_bn_nodes_20_3.BIFXML,False,6,6,map,random,4,2530315000
20,testing/rand_bn_nodes_20_4.BIFXML,False,6,6,map,random,0,3056465000
20,testing/rand_bn_nodes_20_4.BIFXML,False,6,6,map,random,1,2953140000
20,testing/rand_bn_nodes_20_4.BIFXML,False,6,6,map,random,2,1654993000
20,testing/rand_bn_nodes_20_4.BIFXML,False,6,6,map,random,3,2087699000
20,testing/rand_bn_nodes_20_4.BIFXML,False,6,6,map,random,4,4538387000
20,testing/rand_bn_nodes_20_5.BIFXML,False,6,6,map,random,0,1477256000
20,testing/rand_bn_nodes_20_5.BIFXML,False,6,6,map,random,1,5900754000
20,testing/rand_bn_nodes_20_5.BIFXML,False,6,6,map,random,2,4734988000
20,testing/rand_bn_nodes_20_5.BIFXML,False,6,6,map,random,3,2648947000
20,testing/rand_bn_nodes_20_5.BIFXML,False,6,6,map,random,4,2023097000
25,testing/rand_bn_nodes_25_1.BIFXML,False,8,8,map,random,0,197650911000
25,testing/rand_bn_nodes_25_1.BIFXML,False,8,8,map,random,1,126341105000
25,testing/rand_bn_nodes_25_1.BIFXML,False,8,8,map,random,2,6566610237000
25,testing/rand_bn_nodes_25_1.BIFXML,False,8,8,map,random,3,173613421000
25,testing/rand_bn_nodes_25_1.BIFXML,False,8,8,map,random,4,284651526000
25,testing/rand_bn_nodes_25_2.BIFXML,False,8,8,map,random,0,290932369000
25,testing/rand_bn_nodes_25_2.BIFXML,False,8,8,map,random,1,284332571000
25,testing/rand_bn_nodes_25_2.BIFXML,False,8,8,map,random,2,452458870000
25,testing/rand_bn_nodes_25_2.BIFXML,False,8,8,map,random,3,594905279000
25,testing/rand_bn_nodes_25_2.BIFXML,False,8,8,map,random,4,47656315000
25,testing/rand_bn_nodes_25_3.BIFXML,False,8,8,map,random,0,373873700000
25,testing/rand_bn_nodes_25_3.BIFXML,False,8,8,map,random,1,29892553000
25,testing/rand_bn_nodes_25_3.BIFXML,False,8,8,map,random,2,86138498000
25,testing/rand_bn_nodes_25_3.BIFXML,False,8,8,map,random,3,103175747000
25,testing/rand_bn_nodes_25_3.BIFXML,False,8,8,map,random,4,53079208000
25,testing/rand_bn_nodes_25_4.BIFXML,False,8,8,map,random,0,48158280000
25,testing/rand_bn_nodes_25_4.BIFXML,False,8,8,map,random,1,92356835000
25,testing/rand_bn_nodes_25_4.BIFXML,False,8,8,map,random,2,91436567000
25,testing/rand_bn_nodes_25_4.BIFXML,False,8,8,map,random,3,53300349000
25,testing/rand_bn_nodes_25_4.BIFXML,False,8,8,map,random,4,60822251000
25,testing/rand_bn_nodes_25_5.BIFXML,False,8,8,map,random,0,119554904000
25,testing/rand_bn_nodes_25_5.BIFXML,False,8,8,map,random,1,316130218000
25,testing/rand_bn_nodes_25_5.BIFXML,False,8,8,map,random,2,96021357000
25,testing/rand_bn_nodes_25_5.BIFXML,False,8,8,map,random,3,455922596000
25,testing/rand_bn_nodes_25_5.BIFXML,False,8,8,map,random,4,318973844000
